"SKU","CostoProm","UltimoCosto","CostoMercadoLibre"
"ALCNBLA01A59Z","0","8399","8399"
"ALCNBLA01A57Z","0","10500","10500"
"ALRSGDA01A59Z","0","12600","12600"
"ALRSGDA01A57Z","0","11550","11550"
"CN-2006-GY","0","6371","6371"
"CN-2006-TUR","0","6371","6371"
"76599115852144","0","249990","249990"
"CBCNAH124P25A","27306","27306","27306"
"CLAFBG003P20Z","0","31089","31089"
"CCAFCDA01P20Z","0","4202","4202"
"FDRSAS018P20A","0","29403","29403"
"FDCNBB026P20Z","0","33605","33605"
"frafbr014p20w","7727","7727","7727"
"frafbr017p20w","7727","7727","7727"
"frafbr015p20w","7727","7727","7727"
"frafe16x20w26","9659","9659","9659"
"frafe14x20w26","9659","9659","9659"
"frafe15x25w26","0","10500","10500"
"frafe14x25w26","0","10500","10500"
"frafe14x15w26","8399","8399","8399"
"FDCNBUA01P20S","0","26882","26882"
"JSAFAB403P25Z","0","0","0"
"jsafab412p25w","0","18903","18903"
"jsafab417p25w","0","18903","18903"
"JSAFAB404P25Z","0","16803","16803"
"jsafab416p25w","0","18903","18903"
"JSAFAB401P25Z","0","0","0"
"jsafab414p25w","0","18903","18903"
"jsafab420p25w","0","18903","18903"
"JSCNBC002P20Z","0","0","0"
"JSCNBC005P25Z","0","0","0"
"JSCNBC004P25Z","0","0","0"
"JSCNAE110P25W","0","25210","25210"
"JSECAE118P25Z","0","25206","25206"
"jsecae132p25w","0","21845","21845"
"JSCNAE112P25W","0","25202","25202"
"jsecae105p25w","0","21845","21845"
"JSECAE122P25Z","0","25206","25206"
"JSCNAE124P25A","0","25202","25202"
"JSECAE119P25Z","0","25206","25206"
"JSECAE111P25A","0","25206","25206"
"JSECAE113P25B","0","25206","25206"
"JSECAE102P25W","0","25206","25206"
"jsecae117p25b","0","21845","21845"
"JSECAE120P25Z","0","25206","25206"
"JSECAE107P25A","0","21845","21845"
"jsafab412p15w","0","11761","11761"
"jsafab410p15w","0","11761","11761"
"jsafab383p15x","0","11761","11761"
"jsafab409p15w","0","11761","11761"
"JSAFAB418P20W","0","13442","13442"
"jsafab412p20w","0","13442","13442"
"JSAFABA11P20W","0","13442","13442"
"jscnae104p25v","0","15123","15123"
"jscnae120p25a","0","15123","15123"
"JSCNAE101P25V","0","15123","15123"
"JSECAE110P15A","0","0","0"
"JSCNAE108P15W","0","16803","16803"
"jsecae105p15w","0","15123","15123"
"JSCNAE124P15A","0","16803","16803"
"JSECAE021P15T","0","16803","16803"
"JSECAE100P15W","0","15123","15123"
"JSECAE113P15B","0","16803","16803"
"JSECAE030P15V","0","16803","16803"
"JSCNAE109P20W","0","21000","21000"
"JSCNAE137P20B","0","21004","21004"
"JSECAE118P20Z","0","21004","21004"
"jsecae132p20w","0","19156","19156"
"JSECAE110P20A","0","21004","21004"
"JSECAE106P20W","0","21004","21004"
"jsecae135p20w","0","19156","19156"
"JSCNAE112P20W","0","21000","21000"
"JSECAE104P20W","0","21000","21000"
"jsecae105p20w","0","19156","19156"
"JSECAE122P20Z","0","21004","21004"
"JSECAE119P20Z","0","21004","21004"
"JSECAE117P20B","0","19156","19156"
"JSECAE113P20B","0","21004","21004"
"JSECAE120P20Z","0","21004","21004"
"JSCNAE113P20W","0","21004","21004"
"JSECAE107P20A","0","21004","21004"
"JSECAE103P30W","0","27307","27307"
"JSRSBH003P20Z","0","40331","40331"
"JSRSBH004P20Z","0","40331","40331"
"JSRSBH002P20Z","0","40331","40331"
"JSRSBHA16P20C","0","40331","40331"
"JSRSBHA01P20Z","0","40328","40328"
"JSRSBH003P25Z","0","45373","45373"
"JSRSBHA13P25C","0","45373","45373"
"JSRSBHA19P25F","0","45370","45370"
"JSRSBH002P25Z","0","37811","37811"
